width,max_num_blocks,num_nodes,required_bits_lowerbound,required_bits_upperbound
64,2,2,4,416
64,2,2,4,416
64,2,2,4,416
64,2,2,4,416
64,2,2,4,416
64,2,2,4,416
64,2,2,4,416
64,2,2,4,416
64,2,2,4,416
64,2,2,4,416
64,2,3,6,416
64,2,3,6,416
64,2,3,6,416
64,2,3,6,416
64,2,3,6,416
64,2,4,8,416
64,2,4,8,416
64,2,4,8,416
64,2,4,8,416
64,2,4,8,416
64,2,5,10,416
64,2,5,10,416
64,2,5,10,416
64,2,6,12,416
64,2,6,12,416
64,2,7,14,416
64,2,7,14,416
64,2,7,14,416
64,2,8,16,416
64,2,8,16,416
64,2,9,18,416
64,2,10,20,416
64,2,10,20,416
64,2,11,22,416
64,2,12,24,416
64,2,13,26,416
64,2,13,26,416
64,2,14,28,416
64,2,15,30,416
64,2,16,32,416
64,2,18,36,416
64,2,19,38,416
64,2,20,40,416
64,2,22,44,416
64,2,23,46,416
64,2,25,50,416
64,2,26,52,416
64,2,28,56,416
64,2,30,60,416
64,2,32,64,416
64,2,35,70,480
64,2,37,74,480
64,2,40,80,480
64,2,43,86,480
64,2,46,92,480
64,2,49,98,480
64,2,52,104,480
64,2,56,112,480
64,2,60,120,480
64,2,64,128,480
64,2,69,138,1216
64,2,74,148,1216
64,2,79,158,1216
64,2,85,170,1216
64,2,91,182,1216
64,2,98,196,1216
64,2,104,208,1216
64,2,112,224,1216
64,2,120,240,1952
64,2,128,256,1952
64,2,138,276,1952
64,2,148,296,2688
64,2,158,316,2688
64,2,169,338,2688
64,2,182,364,2688
64,2,195,390,2688
64,2,208,416,2688
64,2,223,446,2688
64,2,239,478,3360
64,2,256,512,4832
64,2,275,550,4896
64,2,295,590,4896
64,2,316,632,5632
64,2,338,676,5632
64,2,363,726,5632
64,2,389,778,5632
64,2,416,832,6304
64,2,446,892,7104
64,2,478,956,7776
64,2,512,1024,7840
64,2,549,1098,9248
64,2,589,1178,10048
64,2,631,1262,10720
64,2,676,1352,10784
64,2,725,1450,10784
64,2,777,1554,12864
64,2,832,1664,14336
64,2,892,1784,14400
64,2,956,1912,15200
64,2,1024,2048,17280
64,2,1098,2196,18144
64,2,1177,2354,19552
64,2,1261,2522,20352
64,2,1352,2704,21760
64,2,1449,2898,23296
64,2,1553,3106,25440
64,2,1664,3328,26976
64,2,1783,3566,30528
64,2,1911,3822,31392
64,2,2048,4096,32800
64,2,2195,4390,35744
64,2,2353,4706,39424
64,2,2522,5044,40160
64,2,2703,5406,42432
64,2,2897,5794,45984
64,2,3105,6210,50272
64,2,3327,6654,54080
64,2,3566,7132,59968
64,2,3822,7644,65792
64,2,4096,8192,69536
64,2,4390,8780,74496
64,2,4706,9412,78368
64,2,5043,10086,83456
64,2,5405,10810,87200
64,2,5793,11586,93888
64,2,6209,12418,98784
64,2,6654,13308,109344
64,2,7132,14264,119392
64,2,7644,15288,129152
64,2,8192,16384,137120
64,2,8780,17560,144672
64,2,9411,18822,154848
64,2,10086,20172,167776
64,2,10810,21620,176736
64,2,11586,23172,190048
64,2,12417,24834,205440
64,2,13308,26616,220640
64,2,14264,28528,234080
64,2,15287,30574,254560
64,2,16384,32768,270272
64,2,17560,35120,285472
64,2,18821,37642,309568
64,2,20172,40344,336736
64,2,21619,43238,362560
64,2,23171,46342,387712
64,2,24834,49668,411008
64,2,26616,53232,435904
64,2,28527,57054,467392
64,2,30574,61148,500384
64,2,32768,65536,536736
64,2,35120,70240,578432
64,2,37641,75282,627936
64,2,40343,80686,674112
64,2,43238,86476,712320
64,2,46341,92682,772096
64,2,49668,99336,824384
64,2,53232,106464,876864
64,2,57053,114106,928608
64,2,61148,122296,1002880
64,2,65536,131072,1075968
64,2,70240,140480,1155232
64,2,75282,150564,1245568
64,2,80685,161370,1345216
64,2,86476,172952,1448320
64,2,92682,185364,1539296
64,2,99335,198670,1653824
64,2,106464,212928,1759520
64,2,114105,228210,1875840
64,2,122295,244590,2004448
64,2,131072,262144,2149888
64,2,140480,280960,2321216
64,2,150563,301126,2488000
64,2,161369,322738,2685408
64,2,172951,345902,2890944
64,2,185364,370728,3093152
64,2,198669,397338,3294784
64,2,212928,425856,3520736
64,2,228210,456420,3775264
64,2,244589,489178,4025056
64,2,262144,524288,4307872
64,2,280960,561920,4624992
64,2,301125,602250,4998432
64,2,322737,645474,5378080
64,2,345901,691802,5748224
64,2,370728,741456,6146848
64,2,397337,794674,6587520
64,2,425855,851710,7021824
64,2,456419,912838,7536320
64,2,489178,978356,8044608
64,2,524288,1048576,8642048
64,2,561919,1123838,9297792
64,2,602250,1204500,10014496
64,2,645474,1290948,10724320
64,2,691802,1383604,11468960
64,2,741456,1482912,12310688
64,2,794673,1589346,13166368
64,2,851709,1703418,14083552
64,2,912838,1825676,15047232
64,2,978356,1956712,16114720
64,2,1048576,2097152,17332864
64,2,1123837,2247674,18625472
64,2,1204499,2408998,19997184
64,2,1290948,2581896,21436352
64,2,1383604,2767208,22943072
64,2,1482911,2965822,24589408
64,2,1589345,3178690,26307616
64,2,1703418,3406836,28135296
64,2,1825676,3651352,30159264
64,2,1956712,3913424,32351392
64,2,2097152,4194304,34621920
64,2,2247673,4495346,37182368
64,2,2408997,4817994,39888256
64,2,2581896,5163792,42792256
64,2,2767208,5534416,45891360
64,2,2965821,5931642,49162208
64,2,3178689,6357378,52677888
64,2,3406836,6813672,56370656
64,2,3651352,7302704,60394272
64,2,3913423,7826846,64712992
64,4,2,4,416
64,4,2,4,416
64,4,2,4,416
64,4,2,4,416
64,4,2,4,416
64,4,2,4,416
64,4,2,4,416
64,4,2,4,416
64,4,2,4,416
64,4,2,4,416
64,4,3,6,416
64,4,3,6,416
64,4,3,6,416
64,4,3,6,416
64,4,3,6,416
64,4,4,8,416
64,4,4,8,416
64,4,4,8,416
64,4,4,8,416
64,4,4,8,416
64,4,5,10,416
64,4,5,10,416
64,4,5,10,416
64,4,6,12,416
64,4,6,12,416
64,4,7,14,416
64,4,7,14,416
64,4,7,14,416
64,4,8,16,416
64,4,8,16,416
64,4,9,18,416
64,4,10,20,416
64,4,10,20,416
64,4,11,22,416
64,4,12,24,416
64,4,13,26,416
64,4,13,26,416
64,4,14,28,416
64,4,15,30,416
64,4,16,32,416
64,4,18,36,416
64,4,19,38,416
64,4,20,40,416
64,4,22,44,416
64,4,23,46,416
64,4,25,50,416
64,4,26,52,416
64,4,28,56,416
64,4,30,60,416
64,4,32,64,416
64,4,35,70,480
64,4,37,74,480
64,4,40,80,480
64,4,43,86,480
64,4,46,92,480
64,4,49,98,480
64,4,52,104,480
64,4,56,112,480
64,4,60,120,480
64,4,64,128,480
64,4,69,138,544
64,4,74,148,544
64,4,79,158,544
64,4,85,170,544
64,4,91,182,544
64,4,98,196,608
64,4,104,208,608
64,4,112,224,608
64,4,120,240,608
64,4,128,256,608
64,4,138,276,1344
64,4,148,296,1344
64,4,158,316,1344
64,4,169,338,1344
64,4,182,364,1408
64,4,195,390,1408
64,4,208,416,1408
64,4,223,446,1472
64,4,239,478,1472
64,4,256,512,2208
64,4,275,550,2944
64,4,295,590,2944
64,4,316,632,2944
64,4,338,676,2944
64,4,363,726,2944
64,4,389,778,3072
64,4,416,832,3136
64,4,446,892,3200
64,4,478,956,3200
64,4,512,1024,5280
64,4,549,1098,5408
64,4,589,1178,6144
64,4,631,1262,6144
64,4,676,1352,6208
64,4,725,1450,6336
64,4,777,1554,6400
64,4,832,1664,6528
64,4,892,1784,6656
64,4,956,1912,8128
64,4,1024,2048,9600
64,4,1098,2196,10336
64,4,1177,2354,11808
64,4,1261,2522,12544
64,4,1352,2704,12608
64,4,1449,2898,12928
64,4,1553,3106,12992
64,4,1664,3328,13312
64,4,1783,3566,14240
64,4,1911,3822,16512
64,4,2048,4096,17920
64,4,2195,4390,21664
64,4,2353,4706,25344
64,4,2522,5044,25408
64,4,2703,5406,25536
64,4,2897,5794,25792
64,4,3105,6210,27040
64,4,3327,6654,28896
64,4,3566,7132,30080
64,4,3822,7644,32352
64,4,4096,8192,39904
64,4,4390,8780,44256
64,4,4706,9412,46656
64,4,5043,10086,48928
64,4,5405,10810,49312
64,4,5793,11586,52224
64,4,6209,12418,54528
64,4,6654,13308,55488
64,4,7132,14264,58624
64,4,7644,15288,69984
64,4,8192,16384,79744
64,4,8780,17560,86560
64,4,9411,18822,92096
64,4,10086,20172,96896
64,4,10810,21620,99808
64,4,11586,23172,103232
64,4,12417,24834,108832
64,4,13308,26616,112672
64,4,14264,28528,126272
64,4,15287,30574,137024
64,4,16384,32768,156128
64,4,17560,35120,167968
64,4,18821,37642,181376
64,4,20172,40344,193024
64,4,21619,43238,200448
64,4,23171,46342,208960
64,4,24834,49668,219872
64,4,26616,53232,235008
64,4,28527,57054,255936
64,4,30574,61148,281888
64,4,32768,65536,307840
64,4,35120,70240,334752
64,4,37641,75282,357408
64,4,40343,80686,379968
64,4,43238,86476,400128
64,4,46341,92682,421664
64,4,49668,99336,445824
64,4,53232,106464,478048
64,4,57053,114106,517888
64,4,61148,122296,556096
64,4,65536,131072,615424
64,4,70240,140480,665152
64,4,75282,150564,708224
64,4,80685,161370,753344
64,4,86476,172952,806496
64,4,92682,185364,853600
64,4,99335,198670,899712
64,4,106464,212928,966144
64,4,114105,228210,1038816
64,4,122295,244590,1118144
64,4,131072,262144,1224800
64,4,140480,280960,1321920
64,4,150563,301126,1413952
64,4,161369,322738,1507872
64,4,172951,345902,1602688
64,4,185364,370728,1702880
64,4,198669,397338,1820192
64,4,212928,425856,1938880
64,4,228210,456420,2084672
64,4,244589,489178,2242688
64,4,262144,524288,2432800
64,4,280960,561920,2624928
64,4,301125,602250,2819968
64,4,322737,645474,2999744
64,4,345901,691802,3194560
64,4,370728,741456,3408864
64,4,397337,794674,3629152
64,4,425855,851710,3911552
64,4,456419,912838,4198944
64,4,489178,978356,4514816
64,4,524288,1048576,4857856
64,4,561919,1123838,5235168
64,4,602250,1204500,5616544
64,4,645474,1290948,5995232
64,4,691802,1383604,6394720
64,4,741456,1482912,6823552
64,4,794673,1589346,7279104
64,4,851709,1703418,7822208
64,4,912838,1825676,8398912
64,4,978356,1956712,9054720
64,4,1048576,2097152,9751744
64,4,1123837,2247674,10442816
64,4,1204499,2408998,11184064
64,4,1290948,2581896,11998400
64,4,1383604,2767208,12813888
64,4,1482911,2965822,13642720
64,4,1589345,3178690,14605536
64,4,1703418,3406836,15679168
64,4,1825676,3651352,16823808
64,4,1956712,3913424,18101600
64,4,2097152,4194304,19480160
64,4,2247673,4495346,20897856
64,4,2408997,4817994,22339840
64,4,2581896,5163792,23922400
64,4,2767208,5534416,25578464
64,4,2965821,5931642,27311616
64,4,3178689,6357378,29246528
64,4,3406836,6813672,31390560
64,4,3651352,7302704,33698848
64,4,3913423,7826846,36202528
64,16,2,4,416
64,16,2,4,416
64,16,2,4,416
64,16,2,4,416
64,16,2,4,416
64,16,2,4,416
64,16,2,4,416
64,16,2,4,416
64,16,2,4,416
64,16,2,4,416
64,16,3,6,416
64,16,3,6,416
64,16,3,6,416
64,16,3,6,416
64,16,3,6,416
64,16,4,8,416
64,16,4,8,416
64,16,4,8,416
64,16,4,8,416
64,16,4,8,416
64,16,5,10,416
64,16,5,10,416
64,16,5,10,416
64,16,6,12,416
64,16,6,12,416
64,16,7,14,416
64,16,7,14,416
64,16,7,14,416
64,16,8,16,416
64,16,8,16,416
64,16,9,18,416
64,16,10,20,416
64,16,10,20,416
64,16,11,22,416
64,16,12,24,416
64,16,13,26,416
64,16,13,26,416
64,16,14,28,416
64,16,15,30,416
64,16,16,32,416
64,16,18,36,416
64,16,19,38,416
64,16,20,40,416
64,16,22,44,416
64,16,23,46,416
64,16,25,50,416
64,16,26,52,416
64,16,28,56,416
64,16,30,60,416
64,16,32,64,416
64,16,35,70,480
64,16,37,74,480
64,16,40,80,480
64,16,43,86,480
64,16,46,92,480
64,16,49,98,480
64,16,52,104,480
64,16,56,112,480
64,16,60,120,480
64,16,64,128,480
64,16,69,138,544
64,16,74,148,544
64,16,79,158,544
64,16,85,170,544
64,16,91,182,544
64,16,98,196,608
64,16,104,208,608
64,16,112,224,608
64,16,120,240,608
64,16,128,256,608
64,16,138,276,672
64,16,148,296,672
64,16,158,316,672
64,16,169,338,736
64,16,182,364,736
64,16,195,390,800
64,16,208,416,800
64,16,223,446,800
64,16,239,478,864
64,16,256,512,864
64,16,275,550,928
64,16,295,590,992
64,16,316,632,992
64,16,338,676,1056
64,16,363,726,1120
64,16,389,778,1184
64,16,416,832,1184
64,16,446,892,1248
64,16,478,956,1312
64,16,512,1024,1376
64,16,549,1098,2112
64,16,589,1178,2240
64,16,631,1262,2240
64,16,676,1352,2368
64,16,725,1450,2496
64,16,777,1554,2624
64,16,832,1664,2688
64,16,892,1784,2816
64,16,956,1912,2944
64,16,1024,2048,3744
64,16,1098,2196,4480
64,16,1177,2354,4672
64,16,1261,2522,4864
64,16,1352,2704,4928
64,16,1449,2898,5184
64,16,1553,3106,5440
64,16,1664,3328,5632
64,16,1783,3566,5888
64,16,1911,3822,6144
64,16,2048,4096,7744
64,16,2195,4390,9344
64,16,2353,4706,9536
64,16,2522,5044,9920
64,16,2703,5406,10240
64,16,2897,5794,10688
64,16,3105,6210,11136
64,16,3327,6654,11392
64,16,3566,7132,12032
64,16,3822,7644,13888
64,16,4096,8192,14880
64,16,4390,8780,18144
64,16,4706,9412,19456
64,16,5043,10086,19968
64,16,5405,10810,20800
64,16,5793,11586,21504
64,16,6209,12418,22272
64,16,6654,13308,23296
64,16,7132,14264,24928
64,16,7644,15288,27232
64,16,8192,16384,30880
64,16,8780,17560,35264
64,16,9411,18822,38432
64,16,10086,20172,40384
64,16,10810,21620,41664
64,16,11586,23172,43584
64,16,12417,24834,45248
64,16,13308,26616,46912
64,16,14264,28528,49440
64,16,15287,30574,57536
64,16,16384,32768,63776
64,16,17560,35120,70912
64,16,18821,37642,76448
64,16,20172,40344,80544
64,16,21619,43238,83904
64,16,23171,46342,86912
64,16,24834,49668,89920
64,16,26616,53232,94912
64,16,28527,57054,100224
64,16,30574,61148,112064
64,16,32768,65536,124832
64,16,35120,70240,137792
64,16,37641,75282,152544
64,16,40343,80686,161088
64,16,43238,86476,167680
64,16,46341,92682,174272
64,16,49668,99336,181536
64,16,53232,106464,190656
64,16,57053,114106,206272
64,16,61148,122296,227520
64,16,65536,131072,249568
64,16,70240,140480,277440
64,16,75282,150564,305792
64,16,80685,161370,322432
64,16,86476,172952,336512
64,16,92682,185364,348992
64,16,99335,198670,363200
64,16,106464,212928,382720
64,16,114105,228210,413248
64,16,122295,244590,452640
